fileName,win/full,start,size,stat,value
fileName,win/full,start,size,stat,value
qual0_475_sam_dupl_rm_no5,full,1,23500,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,full,1,23500,thetaW,nan
qual0_475_sam_dupl_rm_no5,full,1,23500,thetaH,0.0
qual0_475_sam_dupl_rm_no5,full,1,23500,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,full,1,23500,tajimasD,nan
qual0_475_sam_dupl_rm_no5,full,1,23500,nUniqHapl,1
qual0_475_sam_dupl_rm_no5,full,1,23500,haplDiv,nan
qual0_475_sam_dupl_rm_no5,full,1,23500,gH1,1.0
qual0_475_sam_dupl_rm_no5,full,1,23500,gH12,1.0
qual0_475_sam_dupl_rm_no5,full,1,23500,gH123,1.0
qual0_475_sam_dupl_rm_no5,full,1,23500,gH2/H1,0.0
qual0_475_sam_dupl_rm_no5,windowed,1,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,1,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,1,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,1,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,1,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,1,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,1,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,1,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,1,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,1,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,51,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,51,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,51,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,51,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,51,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,51,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,51,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,51,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,51,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,51,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,101,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,101,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,101,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,101,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,101,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,101,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,101,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,101,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,101,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,101,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,151,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,151,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,151,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,151,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,151,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,151,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,151,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,151,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,151,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,151,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,201,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,201,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,201,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,201,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,201,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,201,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,201,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,201,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,201,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,201,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,251,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,251,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,251,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,251,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,251,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,251,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,251,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,251,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,251,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,251,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,301,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,301,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,301,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,301,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,301,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,301,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,301,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,301,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,301,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,301,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,351,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,351,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,351,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,351,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,351,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,351,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,351,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,351,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,351,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,351,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,401,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,401,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,401,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,401,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,401,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,401,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,401,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,401,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,401,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,401,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,451,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,451,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,451,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,451,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,451,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,451,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,451,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,451,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,451,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,451,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,501,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,501,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,501,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,501,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,501,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,501,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,501,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,501,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,501,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,501,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,551,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,551,100,thetaW,nan
qual0_475_sam_dupl_rm_no5,windowed,551,100,thetaH,0.0
qual0_475_sam_dupl_rm_no5,windowed,551,100,fayWuH,0.0
qual0_475_sam_dupl_rm_no5,windowed,551,100,tajimasD,nan
qual0_475_sam_dupl_rm_no5,windowed,551,100,haplDiv,na
qual0_475_sam_dupl_rm_no5,windowed,551,100,gH1,na
qual0_475_sam_dupl_rm_no5,windowed,551,100,gH12,na
qual0_475_sam_dupl_rm_no5,windowed,551,100,gH123,na
qual0_475_sam_dupl_rm_no5,windowed,551,100,gH2/H1,na
qual0_475_sam_dupl_rm_no5,windowed,601,100,thetaPi,0.0
qual0_475_sam_dupl_rm_no5,windowed,601,100,thetaW,nan
