fileName,win/full,start,size,stat,value
urine.100,full,1,23500,fixBurnMuts,0
urine.100,full,1,23500,fixNewMuts,0
urine.100,full,1,23500,fixSampMuts,1
urine.100,windowed,1,100,fixBurnMuts,0
urine.100,windowed,1,100,fixNewMuts,0
urine.100,windowed,1,100,fixSampMuts,0
urine.100,windowed,51,100,fixBurnMuts,0
urine.100,windowed,51,100,fixNewMuts,0
urine.100,windowed,51,100,fixSampMuts,0
urine.100,windowed,101,100,fixBurnMuts,0
urine.100,windowed,101,100,fixNewMuts,0
urine.100,windowed,101,100,fixSampMuts,0
urine.100,windowed,151,100,fixBurnMuts,0
urine.100,windowed,151,100,fixNewMuts,0
urine.100,windowed,151,100,fixSampMuts,0
urine.100,windowed,201,100,fixBurnMuts,0
urine.100,windowed,201,100,fixNewMuts,0
urine.100,windowed,201,100,fixSampMuts,0
urine.100,windowed,251,100,fixBurnMuts,0
urine.100,windowed,251,100,fixNewMuts,0
urine.100,windowed,251,100,fixSampMuts,0
urine.100,windowed,301,100,fixBurnMuts,0
urine.100,windowed,301,100,fixNewMuts,0
urine.100,windowed,301,100,fixSampMuts,0
urine.100,windowed,351,100,fixBurnMuts,0
urine.100,windowed,351,100,fixNewMuts,0
urine.100,windowed,351,100,fixSampMuts,0
urine.100,windowed,401,100,fixBurnMuts,0
urine.100,windowed,401,100,fixNewMuts,0
urine.100,windowed,401,100,fixSampMuts,0
urine.100,windowed,451,100,fixBurnMuts,0
urine.100,windowed,451,100,fixNewMuts,0
urine.100,windowed,451,100,fixSampMuts,0
urine.100,windowed,501,100,fixBurnMuts,0
urine.100,windowed,501,100,fixNewMuts,0
urine.100,windowed,501,100,fixSampMuts,0
urine.100,windowed,551,100,fixBurnMuts,0
urine.100,windowed,551,100,fixNewMuts,0
urine.100,windowed,551,100,fixSampMuts,0
urine.100,windowed,601,100,fixBurnMuts,0
urine.100,windowed,601,100,fixNewMuts,0
urine.100,windowed,601,100,fixSampMuts,0
urine.100,windowed,651,100,fixBurnMuts,0
urine.100,windowed,651,100,fixNewMuts,0
urine.100,windowed,651,100,fixSampMuts,0
urine.100,windowed,701,100,fixBurnMuts,0
urine.100,windowed,701,100,fixNewMuts,0
urine.100,windowed,701,100,fixSampMuts,0
urine.100,windowed,751,100,fixBurnMuts,0
urine.100,windowed,751,100,fixNewMuts,0
urine.100,windowed,751,100,fixSampMuts,0
urine.100,windowed,801,100,fixBurnMuts,0
urine.100,windowed,801,100,fixNewMuts,0
urine.100,windowed,801,100,fixSampMuts,0
